# ИСХОДНЫЕ ТОЧКИ
0.060000 2.478000
0.356000 3.471000
0.763000 3.257000
1.096000 1.086000
1.540000 1.291000
2.021000 3.735000
2.354000 0.729000
2.761000 0.684000
3.205000 2.371000
3.464000 3.142000
3.760000 2.846000


# КУБИЧЕСКИЙ СПЛАЙН
0.060000 2.478000
0.074800 2.533897
0.089600 2.589699
0.104400 2.645314
0.119200 2.700647
0.134000 2.755605
0.148800 2.810092
0.163600 2.864016
0.178400 2.917283
0.193200 2.969798
0.208000 3.021467
0.222800 3.072197
0.237600 3.121894
0.252400 3.170464
0.267200 3.217813
0.282000 3.263846
0.296800 3.308471
0.311600 3.351592
0.326400 3.393117
0.341200 3.432951
0.356000 3.471000
0.356000 3.471000
0.376350 3.520206
0.396700 3.565467
0.417050 3.606388
0.437400 3.642578
0.457750 3.673642
0.478100 3.699187
0.498450 3.718820
0.518800 3.732146
0.539150 3.738774
0.559500 3.738308
0.579850 3.730357
0.600200 3.714526
0.620550 3.690422
0.640900 3.657651
0.661250 3.615820
0.681600 3.564537
0.701950 3.503406
0.722300 3.432036
0.742650 3.350031
0.763000 3.257000
0.763000 3.257000
0.779650 3.172564
0.796300 3.081213
0.812950 2.983676
0.829600 2.880682
0.846250 2.772961
0.862900 2.661243
0.879550 2.546257
0.896200 2.428732
0.912850 2.309399
0.929500 2.188987
0.946150 2.068224
0.962800 1.947842
0.979450 1.828569
0.996100 1.711135
1.012750 1.596269
1.029400 1.484701
1.046050 1.377161
1.062700 1.274377
1.079350 1.177081
1.096000 1.086000
1.096000 1.086000
1.118200 0.975211
1.140400 0.876825
1.162600 0.790900
1.184800 0.717491
1.207000 0.656654
1.229200 0.608446
1.251400 0.572923
1.273600 0.550141
1.295800 0.540156
1.318000 0.543025
1.340200 0.558803
1.362400 0.587546
1.384600 0.629312
1.406800 0.684155
1.429000 0.752133
1.451200 0.833301
1.473400 0.927715
1.495600 1.035433
1.517800 1.156509
1.540000 1.291000
1.540000 1.291000
1.564050 1.451418
1.588100 1.624814
1.612150 1.808352
1.636200 1.999201
1.660250 2.194526
1.684300 2.391496
1.708350 2.587275
1.732400 2.779031
1.756450 2.963932
1.780500 3.139142
1.804550 3.301830
1.828600 3.449162
1.852650 3.578304
1.876700 3.686423
1.900750 3.770687
1.924800 3.828261
1.948850 3.856313
1.972900 3.852009
1.996950 3.812516
2.021000 3.735000
2.021000 3.735000
2.037650 3.658012
2.054300 3.563136
2.070950 3.452069
2.087600 3.326505
2.104250 3.188140
2.120900 3.038667
2.137550 2.879782
2.154200 2.713181
2.170850 2.540557
2.187500 2.363606
2.204150 2.184024
2.220800 2.003503
2.237450 1.823741
2.254100 1.646432
2.270750 1.473270
2.287400 1.305951
2.304050 1.146169
2.320700 0.995620
2.337350 0.855999
2.354000 0.729000
2.354000 0.729000
2.374350 0.592704
2.394700 0.476756
2.415050 0.380117
2.435400 0.301746
2.455750 0.240605
2.476100 0.195653
2.496450 0.165851
2.516800 0.150159
2.537150 0.147537
2.557500 0.156946
2.577850 0.177346
2.598200 0.207698
2.618550 0.246961
2.638900 0.294096
2.659250 0.348064
2.679600 0.407825
2.699950 0.472338
2.720300 0.540565
2.740650 0.611465
2.761000 0.684000
2.761000 0.684000
2.783200 0.763990
2.805400 0.844651
2.827600 0.925949
2.849800 1.007847
2.872000 1.090311
2.894200 1.173306
2.916400 1.256794
2.938600 1.340741
2.960800 1.425112
2.983000 1.509872
3.005200 1.594983
3.027400 1.680412
3.049600 1.766122
3.071800 1.852079
3.094000 1.938246
3.116200 2.024588
3.138400 2.111070
3.160600 2.197657
3.182800 2.284312
3.205000 2.371000
3.205000 2.371000
3.217950 2.421541
3.230900 2.471900
3.243850 2.521899
3.256800 2.571356
3.269750 2.620092
3.282700 2.667925
3.295650 2.714677
3.308600 2.760167
3.321550 2.804214
3.334500 2.846639
3.347450 2.887261
3.360400 2.925900
3.373350 2.962376
3.386300 2.996508
3.399250 3.028117
3.412200 3.057022
3.425150 3.083043
3.438100 3.106000
3.451050 3.125712
3.464000 3.142000
3.464000 3.142000
3.478800 3.156274
3.493600 3.166075
3.508400 3.171639
3.523200 3.173200
3.538000 3.170995
3.552800 3.165259
3.567600 3.156226
