# ИСХОДНЫЕ ТОЧКИ
-0.920000 -1.174800
-0.130000 -1.581300
0.660000 -1.672600
1.450000 -1.276100
2.240000 0.074200
3.030000 1.109400
3.820000 1.578500
4.610000 1.486100
5.400000 0.961700
6.190000 0.138400


# МНОГОЧЛЕН 1-й СТЕПЕНИ
-1.000000 -1.569748
-0.900000 -1.527545
-0.800000 -1.485341
-0.700000 -1.443138
-0.600000 -1.400934
-0.500000 -1.358731
-0.400000 -1.316527
-0.300000 -1.274324
-0.200000 -1.232120
-0.100000 -1.189917
-0.000000 -1.147713
0.100000 -1.105509
0.200000 -1.063306
0.300000 -1.021102
0.400000 -0.978899
0.500000 -0.936695
0.600000 -0.894492
0.700000 -0.852288
0.800000 -0.810085
0.900000 -0.767881
1.000000 -0.725678
1.100000 -0.683474
1.200000 -0.641271
1.300000 -0.599067
1.400000 -0.556864
1.500000 -0.514660
1.600000 -0.472457
1.700000 -0.430253
1.800000 -0.388049
1.900000 -0.345846
2.000000 -0.303642
2.100000 -0.261439
2.200000 -0.219235
2.300000 -0.177032
2.400000 -0.134828
2.500000 -0.092625
2.600000 -0.050421
2.700000 -0.008218
2.800000 0.033986
2.900000 0.076189
3.000000 0.118393
3.100000 0.160596
3.200000 0.202800
3.300000 0.245003
3.400000 0.287207
3.500000 0.329411
3.600000 0.371614
3.700000 0.413818
3.800000 0.456021
3.900000 0.498225
4.000000 0.540428
4.100000 0.582632
4.200000 0.624835
4.300000 0.667039
4.400000 0.709242
4.500000 0.751446
4.600000 0.793649
4.700000 0.835853
4.800000 0.878056
4.900000 0.920260
5.000000 0.962463
5.100000 1.004667
5.200000 1.046871
5.300000 1.089074
5.400000 1.131278
5.500000 1.173481
5.600000 1.215685
5.700000 1.257888
5.800000 1.300092
5.900000 1.342295
6.000000 1.384499
6.100000 1.426702
6.200000 1.468906
6.300000 1.511109
6.400000 1.553313
6.500000 1.595516


# МНОГОЧЛЕН 2-й СТЕПЕНИ
-1.000000 -2.201769
-0.900000 -2.103373
-0.800000 -2.006544
-0.700000 -1.911283
-0.600000 -1.817589
-0.500000 -1.725463
-0.400000 -1.634904
-0.300000 -1.545913
-0.200000 -1.458489
-0.100000 -1.372632
-0.000000 -1.288343
0.100000 -1.205621
0.200000 -1.124467
0.300000 -1.044880
0.400000 -0.966861
0.500000 -0.890409
0.600000 -0.815525
0.700000 -0.742207
0.800000 -0.670458
0.900000 -0.600276
1.000000 -0.531661
1.100000 -0.464614
1.200000 -0.399134
1.300000 -0.335221
1.400000 -0.272876
1.500000 -0.212098
1.600000 -0.152888
1.700000 -0.095246
1.800000 -0.039170
1.900000 0.015338
2.000000 0.068278
2.100000 0.119651
2.200000 0.169457
2.300000 0.217695
2.400000 0.264366
2.500000 0.309469
2.600000 0.353005
2.700000 0.394973
2.800000 0.435374
2.900000 0.474208
3.000000 0.511474
3.100000 0.547172
3.200000 0.581304
3.300000 0.613867
3.400000 0.644864
3.500000 0.674293
3.600000 0.702154
3.700000 0.728448
3.800000 0.753175
3.900000 0.776334
4.000000 0.797926
4.100000 0.817950
4.200000 0.836407
4.300000 0.853297
4.400000 0.868619
4.500000 0.882373
4.600000 0.894561
4.700000 0.905180
4.800000 0.914233
4.900000 0.921718
5.000000 0.927635
5.100000 0.931985
5.200000 0.934768
5.300000 0.935983
5.400000 0.935631
5.500000 0.933711
5.600000 0.930224
5.700000 0.925169
5.800000 0.918547
5.900000 0.910358
6.000000 0.900601
6.100000 0.889277
6.200000 0.876385
6.300000 0.861926
6.400000 0.845899
6.500000 0.828305


# МНОГОЧЛЕН 3-й СТЕПЕНИ
-1.000000 -1.083079
-0.900000 -1.207105
-0.800000 -1.316662
-0.700000 -1.412202
-0.600000 -1.494180
-0.500000 -1.563049
-0.400000 -1.619262
-0.300000 -1.663274
-0.200000 -1.695538
-0.100000 -1.716508
-0.000000 -1.726637
0.100000 -1.726379
